type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-08-23 10:37:26.443,56.15469457,10.18725291,9,14.383,38.953,0.910,38,11,31,20220823-123726,GPS Logger: 20220823-123726 - LongBoi
T,2022-08-23 10:37:33,56.15474853,10.18718237,11,13.948,38.953,1.100,302,14,31,,
T,2022-08-23 10:37:39,56.15478939,10.18709087,15,13.895,38.953,1.050,315,10,31,,
T,2022-08-23 10:37:45,56.15481529,10.18699822,23,13.848,38.953,1.050,289,11,31,,
T,2022-08-23 10:37:51,56.15484522,10.18691709,38,13.963,38.953,1.030,309,12,32,,
T,2022-08-23 10:37:57,56.15492225,10.18691067,35,14.072,38.953,0.990,356,10,34,,
T,2022-08-23 10:38:00,56.15492671,10.18693656,38,13.909,38.953,0.000,,14,34,,
T,2022-08-23 10:38:03,56.15493827,10.18692308,38,13.877,38.953,0.840,255,16,34,,
T,2022-08-23 10:38:09,56.15498446,10.18686587,38,14.041,38.953,1.000,342,16,34,,
T,2022-08-23 10:38:12,56.15504002,10.18687004,30,14.383,38.953,1.040,22,16,35,,
T,2022-08-23 10:38:15,56.15508834,10.18690584,28,14.457,38.953,1.060,28,17,35,,
T,2022-08-23 10:38:18,56.15513753,10.18687347,5,14.762,38.953,1.020,300,17,35,,
T,2022-08-23 10:38:24,56.15512532,10.18673541,4,13.901,38.953,1.050,257,20,37,,
T,2022-08-23 10:38:30,56.15511928,10.18664693,10,19.216,38.953,1.080,7,20,37,,
T,2022-08-23 10:38:36,56.15519442,10.18663385,10,20.666,38.953,1.070,2,20,37,,
T,2022-08-23 10:38:42,56.15528553,10.18663106,10,21.497,38.953,1.080,0,20,38,,
T,2022-08-23 10:38:45,56.15533193,10.18663059,10,21.445,38.953,1.100,358,22,38,,
T,2022-08-23 10:38:48,56.15537877,10.18663460,10,23.205,38.953,1.100,6,22,38,,
T,2022-08-23 10:38:54,56.15545860,10.18661702,10,26.239,38.953,0.770,350,22,38,,
T,2022-08-23 10:39:00,56.15552357,10.18662317,10,27.224,38.953,1.090,23,24,38,,
T,2022-08-23 10:39:03,56.15556861,10.18661590,10,27.901,38.953,1.090,357,24,38,,
T,2022-08-23 10:39:09,56.15565641,10.18660822,10,24.530,38.953,1.090,3,24,38,,
T,2022-08-23 10:39:12,56.15570397,10.18658608,10,21.829,38.953,1.040,329,24,38,,
T,2022-08-23 10:39:15,56.15574629,10.18655854,11,19.408,38.953,0.980,341,24,38,,
T,2022-08-23 10:39:21,56.15580679,10.18659910,3,20.000,38.953,0.980,50,23,38,,
T,2022-08-23 10:39:27,56.15584712,10.18668964,3,20.631,38.953,1.230,36,21,38,,
